everFreeHeap, freeHeap, stackHighWaterMarkMain, stackHighWaterMarkApp, stackSize Main (XDKAppInfo.h), stackSize App (XDKAppInfo.h), configTOTAL_HEAP_SIZE(FreeRTOSconfig.h)
[7200], [9992], [??],[1014], 0900, 1400, 72 * 1024
[6800], [9592], [??],[1014], 1000, 1400, 72 * 1024
[7600],[10392], [??], [804], 1000, 1200, 72 * 1024
[9200],[11992], [??], [614], 0800, 1000, 72 * 1024
[9200],[11992], [??], [614], 0800, 1000, 71 * 1024
[7152], [9944], [??], [614], 0800, 1000, 70 * 1024
[4752], [7544], [??],[1014], 1000, 1400, 70 * 1024
[7152], [9944], [??], [614], 0800, 1200, 70 * 1024
[6352], [9144], [34], [804], 0800, 1000, 70 * 1024
[6752],	[9544],[134], [596], 0900, 1000, 70 * 1024
